componente,modulo,grupo_referencia,tipo_prueba,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,puntaje
Razonamiento Cuantitativo,Derecho,GRP-45,Genérica,Enunciado de la pregunta 248 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 248,Opción B de la pregunta 248,Opción C de la pregunta 248,Opción D de la pregunta 248,A,1.0
Comunicación Escrita,Arquitectura,GRP-32,Genérica,Enunciado de la pregunta 249 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 249,Opción B de la pregunta 249,Opción C de la pregunta 249,Opción D de la pregunta 249,B,1.0
Inglés,Ingeniería,GRP-37,Genérica,Enunciado de la pregunta 250 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 250,Opción B de la pregunta 250,Opción C de la pregunta 250,Opción D de la pregunta 250,D,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-29,Específica,Enunciado de la pregunta 251 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 251,Opción B de la pregunta 251,Opción C de la pregunta 251,Opción D de la pregunta 251,A,1.0
Inglés,Ingeniería,GRP-7,Específica,Enunciado de la pregunta 252 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 252,Opción B de la pregunta 252,Opción C de la pregunta 252,Opción D de la pregunta 252,C,1.0
Comunicación Escrita,Economía,GRP-16,Genérica,Enunciado de la pregunta 253 del componente Comunicación Escrita y módulo Economía.,Opción A de la pregunta 253,Opción B de la pregunta 253,Opción C de la pregunta 253,Opción D de la pregunta 253,D,1.0
Razonamiento Cuantitativo,Administración,GRP-50,Específica,Enunciado de la pregunta 254 del componente Razonamiento Cuantitativo y módulo Administración.,Opción A de la pregunta 254,Opción B de la pregunta 254,Opción C de la pregunta 254,Opción D de la pregunta 254,C,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-7,Genérica,Enunciado de la pregunta 255 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 255,Opción B de la pregunta 255,Opción C de la pregunta 255,Opción D de la pregunta 255,B,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-14,Específica,Enunciado de la pregunta 256 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 256,Opción B de la pregunta 256,Opción C de la pregunta 256,Opción D de la pregunta 256,D,1.0
Razonamiento Cuantitativo,Salud,GRP-2,Específica,Enunciado de la pregunta 257 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 257,Opción B de la pregunta 257,Opción C de la pregunta 257,Opción D de la pregunta 257,C,1.0
Razonamiento Cuantitativo,Administración,GRP-15,Genérica,Enunciado de la pregunta 258 del componente Razonamiento Cuantitativo y módulo Administración.,Opción A de la pregunta 258,Opción B de la pregunta 258,Opción C de la pregunta 258,Opción D de la pregunta 258,B,1.0
Lectura Crítica,Economía,GRP-23,Específica,Enunciado de la pregunta 259 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 259,Opción B de la pregunta 259,Opción C de la pregunta 259,Opción D de la pregunta 259,D,1.0
Competencias Ciudadanas,Educación,GRP-6,Específica,Enunciado de la pregunta 260 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 260,Opción B de la pregunta 260,Opción C de la pregunta 260,Opción D de la pregunta 260,D,1.0
Inglés,Ingeniería,GRP-19,Genérica,Enunciado de la pregunta 261 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 261,Opción B de la pregunta 261,Opción C de la pregunta 261,Opción D de la pregunta 261,A,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-40,Genérica,Enunciado de la pregunta 262 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 262,Opción B de la pregunta 262,Opción C de la pregunta 262,Opción D de la pregunta 262,C,1.0
Comunicación Escrita,Salud,GRP-41,Genérica,Enunciado de la pregunta 263 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 263,Opción B de la pregunta 263,Opción C de la pregunta 263,Opción D de la pregunta 263,D,1.0
Lectura Crítica,Ciencias Sociales,GRP-44,Específica,Enunciado de la pregunta 264 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 264,Opción B de la pregunta 264,Opción C de la pregunta 264,Opción D de la pregunta 264,C,1.0
Lectura Crítica,Ingeniería,GRP-16,Específica,Enunciado de la pregunta 265 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 265,Opción B de la pregunta 265,Opción C de la pregunta 265,Opción D de la pregunta 265,B,1.0
Inglés,Economía,GRP-49,Genérica,Enunciado de la pregunta 266 del componente Inglés y módulo Economía.,Opción A de la pregunta 266,Opción B de la pregunta 266,Opción C de la pregunta 266,Opción D de la pregunta 266,A,1.0
Comunicación Escrita,Salud,GRP-18,Específica,Enunciado de la pregunta 267 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 267,Opción B de la pregunta 267,Opción C de la pregunta 267,Opción D de la pregunta 267,D,1.0
Lectura Crítica,Salud,GRP-44,Específica,Enunciado de la pregunta 268 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 268,Opción B de la pregunta 268,Opción C de la pregunta 268,Opción D de la pregunta 268,D,1.0
Competencias Ciudadanas,Educación,GRP-22,Genérica,Enunciado de la pregunta 269 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 269,Opción B de la pregunta 269,Opción C de la pregunta 269,Opción D de la pregunta 269,D,1.0
Inglés,Economía,GRP-36,Genérica,Enunciado de la pregunta 270 del componente Inglés y módulo Economía.,Opción A de la pregunta 270,Opción B de la pregunta 270,Opción C de la pregunta 270,Opción D de la pregunta 270,A,1.0
Inglés,Administración,GRP-12,Genérica,Enunciado de la pregunta 271 del componente Inglés y módulo Administración.,Opción A de la pregunta 271,Opción B de la pregunta 271,Opción C de la pregunta 271,Opción D de la pregunta 271,D,1.0
Comunicación Escrita,Salud,GRP-13,Específica,Enunciado de la pregunta 272 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 272,Opción B de la pregunta 272,Opción C de la pregunta 272,Opción D de la pregunta 272,D,1.0
Comunicación Escrita,Arquitectura,GRP-8,Específica,Enunciado de la pregunta 273 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 273,Opción B de la pregunta 273,Opción C de la pregunta 273,Opción D de la pregunta 273,C,1.0
Lectura Crítica,Ciencias Sociales,GRP-3,Específica,Enunciado de la pregunta 274 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 274,Opción B de la pregunta 274,Opción C de la pregunta 274,Opción D de la pregunta 274,D,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-25,Específica,Enunciado de la pregunta 275 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 275,Opción B de la pregunta 275,Opción C de la pregunta 275,Opción D de la pregunta 275,A,1.0
Inglés,Derecho,GRP-6,Genérica,Enunciado de la pregunta 276 del componente Inglés y módulo Derecho.,Opción A de la pregunta 276,Opción B de la pregunta 276,Opción C de la pregunta 276,Opción D de la pregunta 276,D,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-39,Específica,Enunciado de la pregunta 277 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 277,Opción B de la pregunta 277,Opción C de la pregunta 277,Opción D de la pregunta 277,C,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-4,Genérica,Enunciado de la pregunta 278 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 278,Opción B de la pregunta 278,Opción C de la pregunta 278,Opción D de la pregunta 278,C,1.0
Inglés,Economía,GRP-17,Específica,Enunciado de la pregunta 279 del componente Inglés y módulo Economía.,Opción A de la pregunta 279,Opción B de la pregunta 279,Opción C de la pregunta 279,Opción D de la pregunta 279,B,1.0
Inglés,Ingeniería,GRP-35,Genérica,Enunciado de la pregunta 280 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 280,Opción B de la pregunta 280,Opción C de la pregunta 280,Opción D de la pregunta 280,D,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-30,Genérica,Enunciado de la pregunta 281 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 281,Opción B de la pregunta 281,Opción C de la pregunta 281,Opción D de la pregunta 281,A,1.0
Comunicación Escrita,Ciencias Sociales,GRP-15,Específica,Enunciado de la pregunta 282 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 282,Opción B de la pregunta 282,Opción C de la pregunta 282,Opción D de la pregunta 282,B,1.0
Razonamiento Cuantitativo,Educación,GRP-45,Genérica,Enunciado de la pregunta 283 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 283,Opción B de la pregunta 283,Opción C de la pregunta 283,Opción D de la pregunta 283,D,1.0
Comunicación Escrita,Administración,GRP-14,Específica,Enunciado de la pregunta 284 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 284,Opción B de la pregunta 284,Opción C de la pregunta 284,Opción D de la pregunta 284,B,1.0
Competencias Ciudadanas,Arquitectura,GRP-23,Genérica,Enunciado de la pregunta 285 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 285,Opción B de la pregunta 285,Opción C de la pregunta 285,Opción D de la pregunta 285,D,1.0
Inglés,Ingeniería,GRP-25,Específica,Enunciado de la pregunta 286 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 286,Opción B de la pregunta 286,Opción C de la pregunta 286,Opción D de la pregunta 286,D,1.0
Razonamiento Cuantitativo,Salud,GRP-12,Específica,Enunciado de la pregunta 287 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 287,Opción B de la pregunta 287,Opción C de la pregunta 287,Opción D de la pregunta 287,C,1.0
Lectura Crítica,Ciencias Sociales,GRP-11,Genérica,Enunciado de la pregunta 288 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 288,Opción B de la pregunta 288,Opción C de la pregunta 288,Opción D de la pregunta 288,C,1.0
Inglés,Salud,GRP-13,Genérica,Enunciado de la pregunta 289 del componente Inglés y módulo Salud.,Opción A de la pregunta 289,Opción B de la pregunta 289,Opción C de la pregunta 289,Opción D de la pregunta 289,B,1.0
Razonamiento Cuantitativo,Salud,GRP-23,Específica,Enunciado de la pregunta 290 del componente Razonamiento Cuantitativo y módulo Salud.,Opción A de la pregunta 290,Opción B de la pregunta 290,Opción C de la pregunta 290,Opción D de la pregunta 290,C,1.0
Lectura Crítica,Ciencias Sociales,GRP-49,Genérica,Enunciado de la pregunta 291 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 291,Opción B de la pregunta 291,Opción C de la pregunta 291,Opción D de la pregunta 291,B,1.0
Comunicación Escrita,Derecho,GRP-14,Genérica,Enunciado de la pregunta 292 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 292,Opción B de la pregunta 292,Opción C de la pregunta 292,Opción D de la pregunta 292,C,1.0
Competencias Ciudadanas,Salud,GRP-18,Específica,Enunciado de la pregunta 293 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 293,Opción B de la pregunta 293,Opción C de la pregunta 293,Opción D de la pregunta 293,B,1.0
Competencias Ciudadanas,Salud,GRP-42,Genérica,Enunciado de la pregunta 294 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 294,Opción B de la pregunta 294,Opción C de la pregunta 294,Opción D de la pregunta 294,A,1.0
Razonamiento Cuantitativo,Educación,GRP-28,Genérica,Enunciado de la pregunta 295 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 295,Opción B de la pregunta 295,Opción C de la pregunta 295,Opción D de la pregunta 295,A,1.0
Lectura Crítica,Ciencias Sociales,GRP-11,Genérica,Enunciado de la pregunta 296 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 296,Opción B de la pregunta 296,Opción C de la pregunta 296,Opción D de la pregunta 296,B,1.0
Comunicación Escrita,Ingeniería,GRP-48,Genérica,Enunciado de la pregunta 297 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 297,Opción B de la pregunta 297,Opción C de la pregunta 297,Opción D de la pregunta 297,C,1.0
Inglés,Salud,GRP-10,Genérica,Enunciado de la pregunta 298 del componente Inglés y módulo Salud.,Opción A de la pregunta 298,Opción B de la pregunta 298,Opción C de la pregunta 298,Opción D de la pregunta 298,B,1.0
Lectura Crítica,Economía,GRP-22,Específica,Enunciado de la pregunta 299 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 299,Opción B de la pregunta 299,Opción C de la pregunta 299,Opción D de la pregunta 299,C,1.0
Competencias Ciudadanas,Arquitectura,GRP-47,Genérica,Enunciado de la pregunta 300 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 300,Opción B de la pregunta 300,Opción C de la pregunta 300,Opción D de la pregunta 300,B,1.0
Competencias Ciudadanas,Economía,GRP-43,Específica,Enunciado de la pregunta 301 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 301,Opción B de la pregunta 301,Opción C de la pregunta 301,Opción D de la pregunta 301,B,1.0
Lectura Crítica,Derecho,GRP-24,Específica,Enunciado de la pregunta 302 del componente Lectura Crítica y módulo Derecho.,Opción A de la pregunta 302,Opción B de la pregunta 302,Opción C de la pregunta 302,Opción D de la pregunta 302,C,1.0
Competencias Ciudadanas,Economía,GRP-39,Específica,Enunciado de la pregunta 303 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 303,Opción B de la pregunta 303,Opción C de la pregunta 303,Opción D de la pregunta 303,A,1.0
Lectura Crítica,Economía,GRP-32,Específica,Enunciado de la pregunta 304 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 304,Opción B de la pregunta 304,Opción C de la pregunta 304,Opción D de la pregunta 304,D,1.0
Comunicación Escrita,Educación,GRP-26,Específica,Enunciado de la pregunta 305 del componente Comunicación Escrita y módulo Educación.,Opción A de la pregunta 305,Opción B de la pregunta 305,Opción C de la pregunta 305,Opción D de la pregunta 305,C,1.0
Razonamiento Cuantitativo,Derecho,GRP-7,Genérica,Enunciado de la pregunta 306 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 306,Opción B de la pregunta 306,Opción C de la pregunta 306,Opción D de la pregunta 306,C,1.0
Lectura Crítica,Arquitectura,GRP-16,Específica,Enunciado de la pregunta 307 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 307,Opción B de la pregunta 307,Opción C de la pregunta 307,Opción D de la pregunta 307,D,1.0
Razonamiento Cuantitativo,Economía,GRP-18,Genérica,Enunciado de la pregunta 308 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 308,Opción B de la pregunta 308,Opción C de la pregunta 308,Opción D de la pregunta 308,A,1.0
Lectura Crítica,Educación,GRP-7,Específica,Enunciado de la pregunta 309 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 309,Opción B de la pregunta 309,Opción C de la pregunta 309,Opción D de la pregunta 309,C,1.0
Inglés,Derecho,GRP-47,Genérica,Enunciado de la pregunta 310 del componente Inglés y módulo Derecho.,Opción A de la pregunta 310,Opción B de la pregunta 310,Opción C de la pregunta 310,Opción D de la pregunta 310,C,1.0
Lectura Crítica,Administración,GRP-1,Genérica,Enunciado de la pregunta 311 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 311,Opción B de la pregunta 311,Opción C de la pregunta 311,Opción D de la pregunta 311,A,1.0
Lectura Crítica,Arquitectura,GRP-50,Específica,Enunciado de la pregunta 312 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 312,Opción B de la pregunta 312,Opción C de la pregunta 312,Opción D de la pregunta 312,D,1.0
Inglés,Derecho,GRP-19,Genérica,Enunciado de la pregunta 313 del componente Inglés y módulo Derecho.,Opción A de la pregunta 313,Opción B de la pregunta 313,Opción C de la pregunta 313,Opción D de la pregunta 313,A,1.0
Competencias Ciudadanas,Administración,GRP-29,Genérica,Enunciado de la pregunta 314 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 314,Opción B de la pregunta 314,Opción C de la pregunta 314,Opción D de la pregunta 314,D,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-33,Genérica,Enunciado de la pregunta 315 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 315,Opción B de la pregunta 315,Opción C de la pregunta 315,Opción D de la pregunta 315,C,1.0
Comunicación Escrita,Ciencias Sociales,GRP-34,Genérica,Enunciado de la pregunta 316 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 316,Opción B de la pregunta 316,Opción C de la pregunta 316,Opción D de la pregunta 316,D,1.0
Competencias Ciudadanas,Administración,GRP-23,Genérica,Enunciado de la pregunta 317 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 317,Opción B de la pregunta 317,Opción C de la pregunta 317,Opción D de la pregunta 317,A,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-41,Específica,Enunciado de la pregunta 318 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 318,Opción B de la pregunta 318,Opción C de la pregunta 318,Opción D de la pregunta 318,C,1.0
Inglés,Derecho,GRP-7,Específica,Enunciado de la pregunta 319 del componente Inglés y módulo Derecho.,Opción A de la pregunta 319,Opción B de la pregunta 319,Opción C de la pregunta 319,Opción D de la pregunta 319,C,1.0
Comunicación Escrita,Arquitectura,GRP-12,Genérica,Enunciado de la pregunta 320 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 320,Opción B de la pregunta 320,Opción C de la pregunta 320,Opción D de la pregunta 320,C,1.0
Comunicación Escrita,Ciencias Sociales,GRP-36,Genérica,Enunciado de la pregunta 321 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 321,Opción B de la pregunta 321,Opción C de la pregunta 321,Opción D de la pregunta 321,D,1.0
Comunicación Escrita,Arquitectura,GRP-16,Específica,Enunciado de la pregunta 322 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 322,Opción B de la pregunta 322,Opción C de la pregunta 322,Opción D de la pregunta 322,A,1.0
Lectura Crítica,Economía,GRP-50,Específica,Enunciado de la pregunta 323 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 323,Opción B de la pregunta 323,Opción C de la pregunta 323,Opción D de la pregunta 323,B,1.0
Inglés,Educación,GRP-33,Específica,Enunciado de la pregunta 324 del componente Inglés y módulo Educación.,Opción A de la pregunta 324,Opción B de la pregunta 324,Opción C de la pregunta 324,Opción D de la pregunta 324,A,1.0
Razonamiento Cuantitativo,Educación,GRP-41,Genérica,Enunciado de la pregunta 325 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 325,Opción B de la pregunta 325,Opción C de la pregunta 325,Opción D de la pregunta 325,A,1.0
Comunicación Escrita,Ingeniería,GRP-46,Específica,Enunciado de la pregunta 326 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 326,Opción B de la pregunta 326,Opción C de la pregunta 326,Opción D de la pregunta 326,A,1.0
Comunicación Escrita,Salud,GRP-29,Específica,Enunciado de la pregunta 327 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 327,Opción B de la pregunta 327,Opción C de la pregunta 327,Opción D de la pregunta 327,C,1.0
Lectura Crítica,Ciencias Sociales,GRP-15,Específica,Enunciado de la pregunta 328 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 328,Opción B de la pregunta 328,Opción C de la pregunta 328,Opción D de la pregunta 328,B,1.0
Competencias Ciudadanas,Salud,GRP-20,Genérica,Enunciado de la pregunta 329 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 329,Opción B de la pregunta 329,Opción C de la pregunta 329,Opción D de la pregunta 329,A,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-40,Específica,Enunciado de la pregunta 330 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 330,Opción B de la pregunta 330,Opción C de la pregunta 330,Opción D de la pregunta 330,B,1.0
Inglés,Economía,GRP-46,Específica,Enunciado de la pregunta 331 del componente Inglés y módulo Economía.,Opción A de la pregunta 331,Opción B de la pregunta 331,Opción C de la pregunta 331,Opción D de la pregunta 331,B,1.0
Razonamiento Cuantitativo,Derecho,GRP-6,Específica,Enunciado de la pregunta 332 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 332,Opción B de la pregunta 332,Opción C de la pregunta 332,Opción D de la pregunta 332,D,1.0
Lectura Crítica,Ingeniería,GRP-39,Específica,Enunciado de la pregunta 333 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 333,Opción B de la pregunta 333,Opción C de la pregunta 333,Opción D de la pregunta 333,B,1.0
Lectura Crítica,Arquitectura,GRP-26,Específica,Enunciado de la pregunta 334 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 334,Opción B de la pregunta 334,Opción C de la pregunta 334,Opción D de la pregunta 334,B,1.0
Inglés,Economía,GRP-36,Genérica,Enunciado de la pregunta 335 del componente Inglés y módulo Economía.,Opción A de la pregunta 335,Opción B de la pregunta 335,Opción C de la pregunta 335,Opción D de la pregunta 335,B,1.0
Inglés,Educación,GRP-33,Específica,Enunciado de la pregunta 336 del componente Inglés y módulo Educación.,Opción A de la pregunta 336,Opción B de la pregunta 336,Opción C de la pregunta 336,Opción D de la pregunta 336,D,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-46,Específica,Enunciado de la pregunta 337 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 337,Opción B de la pregunta 337,Opción C de la pregunta 337,Opción D de la pregunta 337,B,1.0
Lectura Crítica,Salud,GRP-3,Genérica,Enunciado de la pregunta 338 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 338,Opción B de la pregunta 338,Opción C de la pregunta 338,Opción D de la pregunta 338,D,1.0
Competencias Ciudadanas,Ingeniería,GRP-43,Específica,Enunciado de la pregunta 339 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 339,Opción B de la pregunta 339,Opción C de la pregunta 339,Opción D de la pregunta 339,D,1.0
Competencias Ciudadanas,Arquitectura,GRP-49,Genérica,Enunciado de la pregunta 340 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 340,Opción B de la pregunta 340,Opción C de la pregunta 340,Opción D de la pregunta 340,A,1.0
Inglés,Derecho,GRP-15,Específica,Enunciado de la pregunta 341 del componente Inglés y módulo Derecho.,Opción A de la pregunta 341,Opción B de la pregunta 341,Opción C de la pregunta 341,Opción D de la pregunta 341,C,1.0
Inglés,Ciencias Sociales,GRP-11,Genérica,Enunciado de la pregunta 342 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 342,Opción B de la pregunta 342,Opción C de la pregunta 342,Opción D de la pregunta 342,C,1.0
Inglés,Administración,GRP-45,Genérica,Enunciado de la pregunta 343 del componente Inglés y módulo Administración.,Opción A de la pregunta 343,Opción B de la pregunta 343,Opción C de la pregunta 343,Opción D de la pregunta 343,C,1.0
Comunicación Escrita,Salud,GRP-32,Específica,Enunciado de la pregunta 344 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 344,Opción B de la pregunta 344,Opción C de la pregunta 344,Opción D de la pregunta 344,A,1.0
Comunicación Escrita,Ingeniería,GRP-22,Específica,Enunciado de la pregunta 345 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 345,Opción B de la pregunta 345,Opción C de la pregunta 345,Opción D de la pregunta 345,C,1.0
Competencias Ciudadanas,Arquitectura,GRP-25,Específica,Enunciado de la pregunta 346 del componente Competencias Ciudadanas y módulo Arquitectura.,Opción A de la pregunta 346,Opción B de la pregunta 346,Opción C de la pregunta 346,Opción D de la pregunta 346,D,1.0
Lectura Crítica,Administración,GRP-3,Genérica,Enunciado de la pregunta 347 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 347,Opción B de la pregunta 347,Opción C de la pregunta 347,Opción D de la pregunta 347,B,1.0
Lectura Crítica,Economía,GRP-30,Genérica,Enunciado de la pregunta 348 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 348,Opción B de la pregunta 348,Opción C de la pregunta 348,Opción D de la pregunta 348,D,1.0
Comunicación Escrita,Economía,GRP-16,Específica,Enunciado de la pregunta 349 del componente Comunicación Escrita y módulo Economía.,Opción A de la pregunta 349,Opción B de la pregunta 349,Opción C de la pregunta 349,Opción D de la pregunta 349,B,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-12,Específica,Enunciado de la pregunta 350 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 350,Opción B de la pregunta 350,Opción C de la pregunta 350,Opción D de la pregunta 350,B,1.0
Inglés,Administración,GRP-39,Específica,Enunciado de la pregunta 351 del componente Inglés y módulo Administración.,Opción A de la pregunta 351,Opción B de la pregunta 351,Opción C de la pregunta 351,Opción D de la pregunta 351,A,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-23,Específica,Enunciado de la pregunta 352 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 352,Opción B de la pregunta 352,Opción C de la pregunta 352,Opción D de la pregunta 352,D,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-29,Específica,Enunciado de la pregunta 353 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 353,Opción B de la pregunta 353,Opción C de la pregunta 353,Opción D de la pregunta 353,C,1.0
Comunicación Escrita,Derecho,GRP-12,Específica,Enunciado de la pregunta 354 del componente Comunicación Escrita y módulo Derecho.,Opción A de la pregunta 354,Opción B de la pregunta 354,Opción C de la pregunta 354,Opción D de la pregunta 354,A,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-26,Genérica,Enunciado de la pregunta 355 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 355,Opción B de la pregunta 355,Opción C de la pregunta 355,Opción D de la pregunta 355,A,1.0
Inglés,Educación,GRP-31,Específica,Enunciado de la pregunta 356 del componente Inglés y módulo Educación.,Opción A de la pregunta 356,Opción B de la pregunta 356,Opción C de la pregunta 356,Opción D de la pregunta 356,C,1.0
Competencias Ciudadanas,Derecho,GRP-6,Específica,Enunciado de la pregunta 357 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 357,Opción B de la pregunta 357,Opción C de la pregunta 357,Opción D de la pregunta 357,D,1.0
Lectura Crítica,Salud,GRP-26,Específica,Enunciado de la pregunta 358 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 358,Opción B de la pregunta 358,Opción C de la pregunta 358,Opción D de la pregunta 358,A,1.0
Lectura Crítica,Educación,GRP-16,Genérica,Enunciado de la pregunta 359 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 359,Opción B de la pregunta 359,Opción C de la pregunta 359,Opción D de la pregunta 359,B,1.0
Razonamiento Cuantitativo,Economía,GRP-46,Genérica,Enunciado de la pregunta 360 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 360,Opción B de la pregunta 360,Opción C de la pregunta 360,Opción D de la pregunta 360,C,1.0
Competencias Ciudadanas,Ingeniería,GRP-15,Específica,Enunciado de la pregunta 361 del componente Competencias Ciudadanas y módulo Ingeniería.,Opción A de la pregunta 361,Opción B de la pregunta 361,Opción C de la pregunta 361,Opción D de la pregunta 361,D,1.0
Comunicación Escrita,Ciencias Sociales,GRP-13,Genérica,Enunciado de la pregunta 362 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 362,Opción B de la pregunta 362,Opción C de la pregunta 362,Opción D de la pregunta 362,B,1.0
