id,enunciado,grupo_referencia,modulo,tipo_prueba,puntaje,creado_en
185,Esta es la pregunta 185 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.96,2025-08-13 16:54:01.295444
186,Esta es la pregunta 186 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.15,2025-08-13 16:54:01.295450
187,Esta es la pregunta 187 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.05,2025-08-13 16:54:01.295456
188,Esta es la pregunta 188 del módulo Inglés para el grupo Salud.,Salud,Inglés,especifica,1.61,2025-08-13 16:54:01.295462
189,Esta es la pregunta 189 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,0.88,2025-08-13 16:54:01.295471
190,Esta es la pregunta 190 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.13,2025-08-13 16:54:01.295479
191,Esta es la pregunta 191 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.43,2025-08-13 16:54:01.295484
192,Esta es la pregunta 192 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.98,2025-08-13 16:54:01.295491
193,Esta es la pregunta 193 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.42,2025-08-13 16:54:01.295497
194,Esta es la pregunta 194 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,1.36,2025-08-13 16:54:01.295505
195,Esta es la pregunta 195 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,0.91,2025-08-13 16:54:01.295511
196,Esta es la pregunta 196 del módulo Competencias Ciudadanas para el grupo Ingeniería.,Ingeniería,Competencias Ciudadanas,especifica,1.87,2025-08-13 16:54:01.295517
197,Esta es la pregunta 197 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.8,2025-08-13 16:54:01.295523
198,Esta es la pregunta 198 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.47,2025-08-13 16:54:01.295529
199,Esta es la pregunta 199 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.43,2025-08-13 16:54:01.295539
200,Esta es la pregunta 200 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.28,2025-08-13 16:54:01.295545
201,Esta es la pregunta 201 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,1.6,2025-08-13 16:54:01.295552
202,Esta es la pregunta 202 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.65,2025-08-13 16:54:01.295558
203,Esta es la pregunta 203 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.94,2025-08-13 16:54:01.295566
204,Esta es la pregunta 204 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.81,2025-08-13 16:54:01.295572
205,Esta es la pregunta 205 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.64,2025-08-13 16:54:01.295578
206,Esta es la pregunta 206 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,1.47,2025-08-13 16:54:01.295584
207,Esta es la pregunta 207 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.71,2025-08-13 16:54:01.295593
208,Esta es la pregunta 208 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.22,2025-08-13 16:54:01.295601
209,Esta es la pregunta 209 del módulo Inglés para el grupo Ingeniería.,Ingeniería,Inglés,especifica,1.69,2025-08-13 16:54:01.295607
210,Esta es la pregunta 210 del módulo Razonamiento Cuantitativo para el grupo Salud.,Salud,Razonamiento Cuantitativo,especifica,1.12,2025-08-13 16:54:01.295616
211,Esta es la pregunta 211 del módulo Inglés para el grupo Salud.,Salud,Inglés,especifica,0.73,2025-08-13 16:54:01.295624
212,Esta es la pregunta 212 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.11,2025-08-13 16:54:01.295630
213,Esta es la pregunta 213 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.94,2025-08-13 16:54:01.295636
214,Esta es la pregunta 214 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.87,2025-08-13 16:54:01.295642
215,Esta es la pregunta 215 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.33,2025-08-13 16:54:01.295648
216,Esta es la pregunta 216 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.06,2025-08-13 16:54:01.295657
217,Esta es la pregunta 217 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.99,2025-08-13 16:54:01.295665
218,Esta es la pregunta 218 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.55,2025-08-13 16:54:01.295674
219,Esta es la pregunta 219 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.5,2025-08-13 16:54:01.295680
220,Esta es la pregunta 220 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.76,2025-08-13 16:54:01.295686
221,Esta es la pregunta 221 del módulo Inglés para el grupo Salud.,Salud,Inglés,especifica,0.84,2025-08-13 16:54:01.295695
222,Esta es la pregunta 222 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.92,2025-08-13 16:54:01.295700
223,Esta es la pregunta 223 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.17,2025-08-13 16:54:01.295707
224,Esta es la pregunta 224 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.41,2025-08-13 16:54:01.295712
225,Esta es la pregunta 225 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.8,2025-08-13 16:54:01.295719
226,Esta es la pregunta 226 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.3,2025-08-13 16:54:01.295725
227,Esta es la pregunta 227 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.18,2025-08-13 16:54:01.295734
228,Esta es la pregunta 228 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.18,2025-08-13 16:54:01.295742
229,Esta es la pregunta 229 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.97,2025-08-13 16:54:01.295748
230,Esta es la pregunta 230 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,1.12,2025-08-13 16:54:01.295754
231,Esta es la pregunta 231 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.3,2025-08-13 16:54:01.295762
232,Esta es la pregunta 232 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,0.78,2025-08-13 16:54:01.295771
233,Esta es la pregunta 233 del módulo Inglés para el grupo Ingeniería.,Ingeniería,Inglés,especifica,1.77,2025-08-13 16:54:01.295777
234,Esta es la pregunta 234 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.83,2025-08-13 16:54:01.295783
235,Esta es la pregunta 235 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,1.27,2025-08-13 16:54:01.295789
236,Esta es la pregunta 236 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.13,2025-08-13 16:54:01.295797
237,Esta es la pregunta 237 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.12,2025-08-13 16:54:01.295803
238,Esta es la pregunta 238 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.52,2025-08-13 16:54:01.295809
239,Esta es la pregunta 239 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.62,2025-08-13 16:54:01.295815
240,Esta es la pregunta 240 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.5,2025-08-13 16:54:01.295821
241,Esta es la pregunta 241 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.17,2025-08-13 16:54:01.295847
242,Esta es la pregunta 242 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.85,2025-08-13 16:54:01.295859
243,Esta es la pregunta 243 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.8,2025-08-13 16:54:01.295871
244,Esta es la pregunta 244 del módulo Comunicación Escrita para el grupo Administración.,Administración,Comunicación Escrita,especifica,1.26,2025-08-13 16:54:01.295880
245,Esta es la pregunta 245 del módulo Razonamiento Cuantitativo para el grupo Salud.,Salud,Razonamiento Cuantitativo,especifica,1.24,2025-08-13 16:54:01.295891
246,Esta es la pregunta 246 del módulo Razonamiento Cuantitativo para el grupo Salud.,Salud,Razonamiento Cuantitativo,especifica,1.03,2025-08-13 16:54:01.295897
247,Esta es la pregunta 247 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,0.99,2025-08-13 16:54:01.295904
248,Esta es la pregunta 248 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.02,2025-08-13 16:54:01.295910
249,Esta es la pregunta 249 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.18,2025-08-13 16:54:01.295916
250,Esta es la pregunta 250 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.72,2025-08-13 16:54:01.295922
251,Esta es la pregunta 251 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,0.7,2025-08-13 16:54:01.295928
252,Esta es la pregunta 252 del módulo Razonamiento Cuantitativo para el grupo Salud.,Salud,Razonamiento Cuantitativo,especifica,1.45,2025-08-13 16:54:01.295935
253,Esta es la pregunta 253 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.25,2025-08-13 16:54:01.295943
254,Esta es la pregunta 254 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.97,2025-08-13 16:54:01.295951
255,Esta es la pregunta 255 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.86,2025-08-13 16:54:01.295957
256,Esta es la pregunta 256 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,0.96,2025-08-13 16:54:01.295964
257,Esta es la pregunta 257 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.84,2025-08-13 16:54:01.295970
258,Esta es la pregunta 258 del módulo Comunicación Escrita para el grupo Administración.,Administración,Comunicación Escrita,especifica,0.93,2025-08-13 16:54:01.295979
259,Esta es la pregunta 259 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.9,2025-08-13 16:54:01.295985
260,Esta es la pregunta 260 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.63,2025-08-13 16:54:01.295992
261,Esta es la pregunta 261 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.74,2025-08-13 16:54:01.295998
262,Esta es la pregunta 262 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,1.27,2025-08-13 16:54:01.296006
263,Esta es la pregunta 263 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.73,2025-08-13 16:54:01.296017
264,Esta es la pregunta 264 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.09,2025-08-13 16:54:01.296023
265,Esta es la pregunta 265 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.49,2025-08-13 16:54:01.296030
266,Esta es la pregunta 266 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.7,2025-08-13 16:54:01.296035
267,Esta es la pregunta 267 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.6,2025-08-13 16:54:01.296041
268,Esta es la pregunta 268 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.33,2025-08-13 16:54:01.296048
269,Esta es la pregunta 269 del módulo Comunicación Escrita para el grupo Administración.,Administración,Comunicación Escrita,especifica,1.84,2025-08-13 16:54:01.296054
270,Esta es la pregunta 270 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,0.64,2025-08-13 16:54:01.296060
271,Esta es la pregunta 271 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.56,2025-08-13 16:54:01.296066
272,Esta es la pregunta 272 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,0.59,2025-08-13 16:54:01.296075
273,Esta es la pregunta 273 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.61,2025-08-13 16:54:01.296080
274,Esta es la pregunta 274 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.89,2025-08-13 16:54:01.296089
275,Esta es la pregunta 275 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.94,2025-08-13 16:54:01.296096
276,Esta es la pregunta 276 del módulo Razonamiento Cuantitativo para el grupo Salud.,Salud,Razonamiento Cuantitativo,especifica,0.95,2025-08-13 16:54:01.296103
277,Esta es la pregunta 277 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,0.89,2025-08-13 16:54:01.296109
278,Esta es la pregunta 278 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,0.89,2025-08-13 16:54:01.296117
279,Esta es la pregunta 279 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.54,2025-08-13 16:54:01.296126
280,Esta es la pregunta 280 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.84,2025-08-13 16:54:01.296137
281,Esta es la pregunta 281 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.85,2025-08-13 16:54:01.296149
282,Esta es la pregunta 282 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,0.76,2025-08-13 16:54:01.296195
283,Esta es la pregunta 283 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.01,2025-08-13 16:54:01.296228
284,Esta es la pregunta 284 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.53,2025-08-13 16:54:01.296247
285,Esta es la pregunta 285 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.34,2025-08-13 16:54:01.296265
286,Esta es la pregunta 286 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.92,2025-08-13 16:54:01.296276
287,Esta es la pregunta 287 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.88,2025-08-13 16:54:01.296284
288,Esta es la pregunta 288 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.94,2025-08-13 16:54:01.296293
289,Esta es la pregunta 289 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.62,2025-08-13 16:54:01.296302
290,Esta es la pregunta 290 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.19,2025-08-13 16:54:01.296315
291,Esta es la pregunta 291 del módulo Inglés para el grupo Educación.,Educación,Inglés,especifica,1.17,2025-08-13 16:54:01.296326
292,Esta es la pregunta 292 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.95,2025-08-13 16:54:01.296334
293,Esta es la pregunta 293 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.8,2025-08-13 16:54:01.296343
294,Esta es la pregunta 294 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.15,2025-08-13 16:54:01.296352
295,Esta es la pregunta 295 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.91,2025-08-13 16:54:01.296363
296,Esta es la pregunta 296 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.97,2025-08-13 16:54:01.296375
297,Esta es la pregunta 297 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.65,2025-08-13 16:54:01.296384
298,Esta es la pregunta 298 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.11,2025-08-13 16:54:01.296392
299,Esta es la pregunta 299 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,0.62,2025-08-13 16:54:01.296404
300,Esta es la pregunta 300 del módulo Inglés para el grupo Educación.,Educación,Inglés,especifica,1.2,2025-08-13 16:54:01.296419
301,Esta es la pregunta 301 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.07,2025-08-13 16:54:01.296428
302,Esta es la pregunta 302 del módulo Comunicación Escrita para el grupo Administración.,Administración,Comunicación Escrita,especifica,1.65,2025-08-13 16:54:01.296437
303,Esta es la pregunta 303 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.96,2025-08-13 16:54:01.296446
304,Esta es la pregunta 304 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,1.01,2025-08-13 16:54:01.296458
305,Esta es la pregunta 305 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.62,2025-08-13 16:54:01.296468
306,Esta es la pregunta 306 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.61,2025-08-13 16:54:01.296482
307,Esta es la pregunta 307 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.91,2025-08-13 16:54:01.296492
308,Esta es la pregunta 308 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,0.93,2025-08-13 16:54:01.296504
309,Esta es la pregunta 309 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.78,2025-08-13 16:54:01.296513
310,Esta es la pregunta 310 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.07,2025-08-13 16:54:01.296524
311,Esta es la pregunta 311 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.71,2025-08-13 16:54:01.296532
312,Esta es la pregunta 312 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.54,2025-08-13 16:54:01.296541
313,Esta es la pregunta 313 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.09,2025-08-13 16:54:01.296553
314,Esta es la pregunta 314 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.27,2025-08-13 16:54:01.296563
315,Esta es la pregunta 315 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.37,2025-08-13 16:54:01.296572
316,Esta es la pregunta 316 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.94,2025-08-13 16:54:01.296581
317,Esta es la pregunta 317 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.32,2025-08-13 16:54:01.296600
318,Esta es la pregunta 318 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.18,2025-08-13 16:54:01.296610
319,Esta es la pregunta 319 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.2,2025-08-13 16:54:01.296621
320,Esta es la pregunta 320 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.95,2025-08-13 16:54:01.296630
321,Esta es la pregunta 321 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,0.52,2025-08-13 16:54:01.296643
322,Esta es la pregunta 322 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.54,2025-08-13 16:54:01.296662
323,Esta es la pregunta 323 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.49,2025-08-13 16:54:01.296717
324,Esta es la pregunta 324 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.89,2025-08-13 16:54:01.296727
325,Esta es la pregunta 325 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.89,2025-08-13 16:54:01.296736
326,Esta es la pregunta 326 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.63,2025-08-13 16:54:01.296755
327,Esta es la pregunta 327 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.71,2025-08-13 16:54:01.296767
328,Esta es la pregunta 328 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.2,2025-08-13 16:54:01.296776
329,Esta es la pregunta 329 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.95,2025-08-13 16:54:01.296786
330,Esta es la pregunta 330 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.22,2025-08-13 16:54:01.296798
331,Esta es la pregunta 331 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,0.96,2025-08-13 16:54:01.296808
332,Esta es la pregunta 332 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,0.85,2025-08-13 16:54:01.296817
333,Esta es la pregunta 333 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.51,2025-08-13 16:54:01.296826
334,Esta es la pregunta 334 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,0.99,2025-08-13 16:54:01.296856
335,Esta es la pregunta 335 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.19,2025-08-13 16:54:01.296870
336,Esta es la pregunta 336 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.73,2025-08-13 16:54:01.296879
337,Esta es la pregunta 337 del módulo Comunicación Escrita para el grupo Administración.,Administración,Comunicación Escrita,especifica,0.54,2025-08-13 16:54:01.296887
338,Esta es la pregunta 338 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.61,2025-08-13 16:54:01.296899
339,Esta es la pregunta 339 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.99,2025-08-13 16:54:01.296908
340,Esta es la pregunta 340 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.51,2025-08-13 16:54:01.296916
341,Esta es la pregunta 341 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,0.72,2025-08-13 16:54:01.296925
342,Esta es la pregunta 342 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.7,2025-08-13 16:54:01.296937
343,Esta es la pregunta 343 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.96,2025-08-13 16:54:01.296946
344,Esta es la pregunta 344 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,0.75,2025-08-13 16:54:01.296959
345,Esta es la pregunta 345 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,0.75,2025-08-13 16:54:01.296969
346,Esta es la pregunta 346 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.98,2025-08-13 16:54:01.296978
347,Esta es la pregunta 347 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.55,2025-08-13 16:54:01.296989
348,Esta es la pregunta 348 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.59,2025-08-13 16:54:01.297001
349,Esta es la pregunta 349 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.35,2025-08-13 16:54:01.297010
350,Esta es la pregunta 350 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,1.0,2025-08-13 16:54:01.297019
351,Esta es la pregunta 351 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,1.66,2025-08-13 16:54:01.297031
352,Esta es la pregunta 352 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.12,2025-08-13 16:54:01.297040
353,Esta es la pregunta 353 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,1.44,2025-08-13 16:54:01.297052
354,Esta es la pregunta 354 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,1.24,2025-08-13 16:54:01.297062
355,Esta es la pregunta 355 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.57,2025-08-13 16:54:01.297071
356,Esta es la pregunta 356 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.5,2025-08-13 16:54:01.297080
357,Esta es la pregunta 357 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.79,2025-08-13 16:54:01.297088
358,Esta es la pregunta 358 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.76,2025-08-13 16:54:01.297097
359,Esta es la pregunta 359 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.98,2025-08-13 16:54:01.297109
360,Esta es la pregunta 360 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.68,2025-08-13 16:54:01.297117
361,Esta es la pregunta 361 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,1.98,2025-08-13 16:54:01.297126
362,Esta es la pregunta 362 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.04,2025-08-13 16:54:01.297135
363,Esta es la pregunta 363 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.77,2025-08-13 16:54:01.297150
364,Esta es la pregunta 364 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.35,2025-08-13 16:54:01.297162
365,Esta es la pregunta 365 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.85,2025-08-13 16:54:01.297171
366,Esta es la pregunta 366 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.02,2025-08-13 16:54:01.297181
367,Esta es la pregunta 367 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.61,2025-08-13 16:54:01.297190
