componente,modulo,grupo_ref,tipo_prueba,enunciado,op_a,op_b,op_c,op_d,correcta
Lectura Crítica,Interpretación Gráfica,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Interpretación Gráfica,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,D
Lectura Crítica,Identificación de Tesis,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Marketing,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,B
Lectura Crítica,Interpretación Gráfica,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Interpretación Gráfica,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,D
Lectura Crítica,Interpretación Gráfica,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,Retos de implementación tecnológica,B
Lectura Crítica,Emprendimiento,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Interpretación Gráfica,Salud,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Bases de Datos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,A
Lectura Crítica,Sistemas Operativos,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,A
Lectura Crítica,Interpretación Gráfica,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Análisis de Señales,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,Retos de implementación tecnológica,B
Lectura Crítica,Interpretación Gráfica,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,A
Lectura Crítica,Identificación de Tesis,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,B
Lectura Crítica,Interpretación Gráfica,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Seguridad Informática,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,B
Lectura Crítica,Ciencia de Datos,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Comprensión de Textos,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,B
Lectura Crítica,Currículo,Educación,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Identificación de Tesis,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,Limitaciones del acceso remoto,B
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Coherencia y Cohesión,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,A
Lectura Crítica,Identificación de Tesis,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,B
Lectura Crítica,Identificación de Tesis,Administración,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,A
Lectura Crítica,Bases de Datos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Ciencia de Datos,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Comprensión de Textos,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,A
Lectura Crítica,Identificación de Tesis,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,A
Lectura Crítica,Interpretación Gráfica,Administración,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Farmacología,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,A
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,B
Lectura Crítica,Interpretación Gráfica,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,D
Lectura Crítica,Ingeniería de Software,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Recursos Humanos,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,C
Lectura Crítica,Epidemiología,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Identificación de Tesis,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,A
Lectura Crítica,Redes y Telecomunicaciones,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,C
Razonamiento Cuantitativo,Aritmética,Ingeniería,generica,"En el contexto de Aritmética (Ingeniería), calcule el resultado de 99 * 4.",396,395,399,401,A
Razonamiento Cuantitativo,Álgebra,Ingeniería,generica,"En el contexto de Álgebra (Ingeniería), calcule el resultado de 24 + 3.",29,27,30,26,B
Razonamiento Cuantitativo,Geometría,Educación,generica,"En el contexto de Geometría (Educación), calcule el resultado de 43 - 2.",47,43,44,41,D
Razonamiento Cuantitativo,Aritmética,Salud,generica,"En el contexto de Aritmética (Salud), calcule el resultado de 54 * 17.",913,915,920,918,D
Razonamiento Cuantitativo,Didáctica,Educación,especifica,"En el contexto de Didáctica (Educación), calcule el resultado de 10 - 13.",-2,2,-3,-1,C
Razonamiento Cuantitativo,Evaluación Educativa,Educación,especifica,"En el contexto de Evaluación Educativa (Educación), calcule el resultado de 73 + 7.",80,75,83,81,A
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 57 - 8.",55,51,49,52,C
Razonamiento Cuantitativo,Aritmética,Derecho,generica,"En el contexto de Aritmética (Derecho), calcule el resultado de 54 - 20.",34,29,40,39,A
Razonamiento Cuantitativo,Bioética,Salud,especifica,"En el contexto de Bioética (Salud), calcule el resultado de 84 + 9.",93,96,95,97,A
Razonamiento Cuantitativo,Logística,Administración,especifica,"En el contexto de Logística (Administración), calcule el resultado de 76 + 13.",88,85,89,91,C
Razonamiento Cuantitativo,Aritmética,Salud,generica,"En el contexto de Aritmética (Salud), calcule el resultado de 91 - 5.",82,88,87,86,D
Razonamiento Cuantitativo,Derecho Civil,Derecho,especifica,"En el contexto de Derecho Civil (Derecho), calcule el resultado de 69 + 2.",67,75,73,71,D
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 68 - 15.",57,55,53,54,C
Razonamiento Cuantitativo,Geometría,Salud,generica,"En el contexto de Geometría (Salud), calcule el resultado de 76 * 7.",529,536,532,531,C
Razonamiento Cuantitativo,Marketing,Administración,especifica,"En el contexto de Marketing (Administración), calcule el resultado de 76 + 13.",91,84,89,94,C
Razonamiento Cuantitativo,Farmacología,Salud,especifica,"En el contexto de Farmacología (Salud), calcule el resultado de 36 - 7.",24,29,34,30,B
Razonamiento Cuantitativo,Geometría,Ingeniería,generica,"En el contexto de Geometría (Ingeniería), calcule el resultado de 63 * 13.",816,821,819,824,C
Razonamiento Cuantitativo,Aritmética,Administración,generica,"En el contexto de Aritmética (Administración), calcule el resultado de 91 - 8.",81,87,89,83,D
Razonamiento Cuantitativo,Teoría del Derecho,Derecho,especifica,"En el contexto de Teoría del Derecho (Derecho), calcule el resultado de 55 - 9.",46,49,51,48,A
Razonamiento Cuantitativo,Estadística,Educación,generica,"En el contexto de Estadística (Educación), calcule el resultado de 51 - 17.",34,36,31,39,A
Razonamiento Cuantitativo,Bases de Datos,Ingeniería,especifica,"En el contexto de Bases de Datos (Ingeniería), calcule el resultado de 27 - 18.",9,8,11,4,A
Razonamiento Cuantitativo,Álgebra,Derecho,generica,"En el contexto de Álgebra (Derecho), calcule el resultado de 33 - 16.",17,22,15,20,A
Razonamiento Cuantitativo,Álgebra,Administración,generica,"En el contexto de Álgebra (Administración), calcule el resultado de 77 * 4.",309,310,313,308,D
Razonamiento Cuantitativo,Aritmética,Salud,generica,"En el contexto de Aritmética (Salud), calcule el resultado de 71 + 16.",83,87,93,86,B
Razonamiento Cuantitativo,Geometría,Tecnología,generica,"En el contexto de Geometría (Tecnología), calcule el resultado de 57 - 15.",42,37,41,46,A
Razonamiento Cuantitativo,Fisiología,Salud,especifica,"En el contexto de Fisiología (Salud), calcule el resultado de 14 * 8.",115,114,117,112,D
Razonamiento Cuantitativo,Geometría,Educación,generica,"En el contexto de Geometría (Educación), calcule el resultado de 42 + 19.",61,65,64,66,A
Razonamiento Cuantitativo,Estadística,Ingeniería,generica,"En el contexto de Estadística (Ingeniería), calcule el resultado de 48 * 6.",288,287,294,293,A
Razonamiento Cuantitativo,Álgebra,Ingeniería,generica,"En el contexto de Álgebra (Ingeniería), calcule el resultado de 70 * 3.",213,215,210,216,C
Razonamiento Cuantitativo,Sistemas Operativos,Tecnología,especifica,"En el contexto de Sistemas Operativos (Tecnología), calcule el resultado de 22 + 7.",29,25,30,31,A
Razonamiento Cuantitativo,Aritmética,Salud,generica,"En el contexto de Aritmética (Salud), calcule el resultado de 65 * 20.",1295,1305,1301,1300,D
Razonamiento Cuantitativo,Análisis de Señales,Ingeniería,especifica,"En el contexto de Análisis de Señales (Ingeniería), calcule el resultado de 85 - 6.",79,75,78,84,A
Razonamiento Cuantitativo,Aritmética,Salud,generica,"En el contexto de Aritmética (Salud), calcule el resultado de 21 + 8.",30,24,31,29,D
Razonamiento Cuantitativo,Álgebra,Ingeniería,generica,"En el contexto de Álgebra (Ingeniería), calcule el resultado de 20 * 11.",217,226,220,224,C
Razonamiento Cuantitativo,Análisis de Señales,Ingeniería,especifica,"En el contexto de Análisis de Señales (Ingeniería), calcule el resultado de 20 - 14.",6,11,10,1,A
Razonamiento Cuantitativo,Teoría del Derecho,Derecho,especifica,"En el contexto de Teoría del Derecho (Derecho), calcule el resultado de 96 + 7.",104,107,106,103,D
Razonamiento Cuantitativo,Estadística,Derecho,generica,"En el contexto de Estadística (Derecho), calcule el resultado de 17 * 12.",209,203,206,204,D
Razonamiento Cuantitativo,Derecho Penal,Derecho,especifica,"En el contexto de Derecho Penal (Derecho), calcule el resultado de 67 * 11.",733,737,740,738,B
Razonamiento Cuantitativo,Geometría,Derecho,generica,"En el contexto de Geometría (Derecho), calcule el resultado de 54 + 19.",79,76,73,77,C
Razonamiento Cuantitativo,Álgebra,Tecnología,generica,"En el contexto de Álgebra (Tecnología), calcule el resultado de 42 + 20.",67,66,62,57,C
Razonamiento Cuantitativo,Estadística,Derecho,generica,"En el contexto de Estadística (Derecho), calcule el resultado de 76 - 12.",62,64,70,63,B
Razonamiento Cuantitativo,Fisiología,Salud,especifica,"En el contexto de Fisiología (Salud), calcule el resultado de 41 - 3.",34,42,38,35,C
Razonamiento Cuantitativo,Aritmética,Educación,generica,"En el contexto de Aritmética (Educación), calcule el resultado de 22 + 3.",25,27,30,31,A
Razonamiento Cuantitativo,Epidemiología,Salud,especifica,"En el contexto de Epidemiología (Salud), calcule el resultado de 26 + 10.",38,35,36,33,C
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 86 + 14.",100,101,103,104,A
Razonamiento Cuantitativo,Álgebra,Administración,generica,"En el contexto de Álgebra (Administración), calcule el resultado de 57 * 9.",511,510,513,514,C
Razonamiento Cuantitativo,Teoría del Derecho,Derecho,especifica,"En el contexto de Teoría del Derecho (Derecho), calcule el resultado de 17 + 5.",26,25,19,22,D
Razonamiento Cuantitativo,Estadística,Salud,generica,"En el contexto de Estadística (Salud), calcule el resultado de 59 - 5.",52,54,58,56,B
Razonamiento Cuantitativo,Álgebra,Ingeniería,generica,"En el contexto de Álgebra (Ingeniería), calcule el resultado de 19 * 13.",250,248,247,249,C
Razonamiento Cuantitativo,Estadística,Tecnología,generica,"En el contexto de Estadística (Tecnología), calcule el resultado de 38 + 3.",41,46,43,45,A
Razonamiento Cuantitativo,Estadística,Educación,generica,"En el contexto de Estadística (Educación), calcule el resultado de 52 - 7.",48,45,47,41,B
Razonamiento Cuantitativo,Álgebra,Educación,generica,"En el contexto de Álgebra (Educación), calcule el resultado de 56 - 15.",39,41,42,44,B
Razonamiento Cuantitativo,Administración Financiera,Administración,especifica,"En el contexto de Administración Financiera (Administración), calcule el resultado de 66 - 18.",43,53,48,44,C
Razonamiento Cuantitativo,Redes y Telecomunicaciones,Ingeniería,especifica,"En el contexto de Redes y Telecomunicaciones (Ingeniería), calcule el resultado de 45 + 20.",63,67,60,65,D
Razonamiento Cuantitativo,Álgebra,Administración,generica,"En el contexto de Álgebra (Administración), calcule el resultado de 84 + 11.",97,95,100,94,B
Razonamiento Cuantitativo,Seguridad Informática,Tecnología,especifica,"En el contexto de Seguridad Informática (Tecnología), calcule el resultado de 21 - 2.",22,19,16,15,B
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 55 - 18.",38,32,39,37,D
Razonamiento Cuantitativo,Tecnología Educativa,Educación,especifica,"En el contexto de Tecnología Educativa (Educación), calcule el resultado de 67 + 18.",85,91,88,83,A
Razonamiento Cuantitativo,Aritmética,Educación,generica,"En el contexto de Aritmética (Educación), calcule el resultado de 12 * 5.",55,62,65,60,D
Razonamiento Cuantitativo,Ingeniería de Software,Ingeniería,especifica,"En el contexto de Ingeniería de Software (Ingeniería), calcule el resultado de 44 - 5.",39,40,38,44,A
Razonamiento Cuantitativo,Geometría,Administración,generica,"En el contexto de Geometría (Administración), calcule el resultado de 60 + 7.",67,68,73,72,A
Razonamiento Cuantitativo,Estadística,Salud,generica,"En el contexto de Estadística (Salud), calcule el resultado de 65 - 20.",45,50,40,46,A
Razonamiento Cuantitativo,Ciencia de Datos,Tecnología,especifica,"En el contexto de Ciencia de Datos (Tecnología), calcule el resultado de 23 + 18.",37,47,41,42,C
Razonamiento Cuantitativo,Farmacología,Salud,especifica,"En el contexto de Farmacología (Salud), calcule el resultado de 91 + 3.",99,94,89,96,B
Razonamiento Cuantitativo,Álgebra,Derecho,generica,"En el contexto de Álgebra (Derecho), calcule el resultado de 15 + 11.",26,28,24,29,A
Razonamiento Cuantitativo,Álgebra,Derecho,generica,"En el contexto de Álgebra (Derecho), calcule el resultado de 66 * 5.",330,332,335,333,A
Razonamiento Cuantitativo,Geometría,Tecnología,generica,"En el contexto de Geometría (Tecnología), calcule el resultado de 88 + 20.",104,114,108,111,C
Razonamiento Cuantitativo,Salud Pública,Salud,especifica,"En el contexto de Salud Pública (Salud), calcule el resultado de 41 + 12.",54,53,56,58,B
Razonamiento Cuantitativo,Estadística,Derecho,generica,"En el contexto de Estadística (Derecho), calcule el resultado de 46 - 8.",38,40,41,37,A
Razonamiento Cuantitativo,Geometría,Derecho,generica,"En el contexto de Geometría (Derecho), calcule el resultado de 55 * 5.",278,275,277,279,B
Razonamiento Cuantitativo,Derecho Civil,Derecho,especifica,"En el contexto de Derecho Civil (Derecho), calcule el resultado de 76 * 5.",379,384,382,380,D
Razonamiento Cuantitativo,Álgebra,Salud,generica,"En el contexto de Álgebra (Salud), calcule el resultado de 63 * 10.",625,630,634,633,B
Razonamiento Cuantitativo,Geometría,Tecnología,generica,"En el contexto de Geometría (Tecnología), calcule el resultado de 58 - 16.",45,47,39,42,D
Razonamiento Cuantitativo,Bases de Datos,Ingeniería,especifica,"En el contexto de Bases de Datos (Ingeniería), calcule el resultado de 51 - 9.",41,44,43,42,D
Razonamiento Cuantitativo,Teoría del Derecho,Derecho,especifica,"En el contexto de Teoría del Derecho (Derecho), calcule el resultado de 76 * 18.",1371,1368,1372,1370,B
Razonamiento Cuantitativo,Geometría,Derecho,generica,"En el contexto de Geometría (Derecho), calcule el resultado de 57 - 18.",43,45,37,39,D
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 31 - 13.",16,22,18,15,C
Razonamiento Cuantitativo,Teoría del Derecho,Derecho,especifica,"En el contexto de Teoría del Derecho (Derecho), calcule el resultado de 90 * 7.",630,634,632,633,A
Razonamiento Cuantitativo,Aritmética,Educación,generica,"En el contexto de Aritmética (Educación), calcule el resultado de 98 + 15.",114,113,108,116,B
Razonamiento Cuantitativo,Álgebra,Tecnología,generica,"En el contexto de Álgebra (Tecnología), calcule el resultado de 73 * 19.",1391,1393,1387,1390,C
Razonamiento Cuantitativo,Aritmética,Administración,generica,"En el contexto de Aritmética (Administración), calcule el resultado de 13 + 5.",22,18,23,21,B
Razonamiento Cuantitativo,Ciencia de Datos,Tecnología,especifica,"En el contexto de Ciencia de Datos (Tecnología), calcule el resultado de 28 - 9.",21,19,20,16,B
Razonamiento Cuantitativo,Salud Pública,Salud,especifica,"En el contexto de Salud Pública (Salud), calcule el resultado de 16 - 9.",3,5,7,2,C
Razonamiento Cuantitativo,Geometría,Educación,generica,"En el contexto de Geometría (Educación), calcule el resultado de 48 * 15.",723,719,720,725,C
Razonamiento Cuantitativo,Farmacología,Salud,especifica,"En el contexto de Farmacología (Salud), calcule el resultado de 12 + 9.",21,19,26,24,A
Razonamiento Cuantitativo,Aritmética,Educación,generica,"En el contexto de Aritmética (Educación), calcule el resultado de 25 - 15.",10,6,5,14,A
Razonamiento Cuantitativo,Aritmética,Ingeniería,generica,"En el contexto de Aritmética (Ingeniería), calcule el resultado de 53 + 6.",54,57,61,59,D
Razonamiento Cuantitativo,Álgebra,Administración,generica,"En el contexto de Álgebra (Administración), calcule el resultado de 61 * 14.",857,854,856,849,B
Razonamiento Cuantitativo,Derecho Laboral,Derecho,especifica,"En el contexto de Derecho Laboral (Derecho), calcule el resultado de 57 + 19.",76,74,71,81,A
Razonamiento Cuantitativo,Seguridad Informática,Tecnología,especifica,"En el contexto de Seguridad Informática (Tecnología), calcule el resultado de 13 + 20.",30,33,38,35,B
Razonamiento Cuantitativo,Administración Financiera,Administración,especifica,"En el contexto de Administración Financiera (Administración), calcule el resultado de 18 - 19.",-3,-4,-1,4,C
Razonamiento Cuantitativo,Estadística,Tecnología,generica,"En el contexto de Estadística (Tecnología), calcule el resultado de 61 * 16.",976,978,980,974,A
Razonamiento Cuantitativo,Seguridad Informática,Tecnología,especifica,"En el contexto de Seguridad Informática (Tecnología), calcule el resultado de 41 - 14.",27,24,31,26,A
Razonamiento Cuantitativo,Álgebra,Salud,generica,"En el contexto de Álgebra (Salud), calcule el resultado de 65 - 8.",59,57,61,60,B
Razonamiento Cuantitativo,Geometría,Tecnología,generica,"En el contexto de Geometría (Tecnología), calcule el resultado de 95 - 20.",81,74,75,72,C
Razonamiento Cuantitativo,Redes y Telecomunicaciones,Ingeniería,especifica,"En el contexto de Redes y Telecomunicaciones (Ingeniería), calcule el resultado de 54 - 4.",50,55,54,45,A
Razonamiento Cuantitativo,Epidemiología,Salud,especifica,"En el contexto de Epidemiología (Salud), calcule el resultado de 98 * 16.",1568,1563,1564,1570,A
Razonamiento Cuantitativo,Álgebra,Administración,generica,"En el contexto de Álgebra (Administración), calcule el resultado de 79 + 10.",88,89,85,92,B
Razonamiento Cuantitativo,Geometría,Administración,generica,"En el contexto de Geometría (Administración), calcule el resultado de 95 + 17.",118,108,112,110,C
Razonamiento Cuantitativo,Marketing,Administración,especifica,"En el contexto de Marketing (Administración), calcule el resultado de 85 + 20.",101,105,109,107,B
Razonamiento Cuantitativo,Salud Pública,Salud,especifica,"En el contexto de Salud Pública (Salud), calcule el resultado de 98 + 11.",107,109,112,110,B
Razonamiento Cuantitativo,Aritmética,Tecnología,generica,"En el contexto de Aritmética (Tecnología), calcule el resultado de 30 - 12.",18,23,21,17,A
Razonamiento Cuantitativo,Bases de Datos,Ingeniería,especifica,"En el contexto de Bases de Datos (Ingeniería), calcule el resultado de 82 + 10.",88,92,97,96,B
Razonamiento Cuantitativo,Estadística,Tecnología,generica,"En el contexto de Estadística (Tecnología), calcule el resultado de 93 + 9.",102,105,98,101,A
Razonamiento Cuantitativo,Álgebra,Tecnología,generica,"En el contexto de Álgebra (Tecnología), calcule el resultado de 23 * 11.",258,256,253,249,C
Razonamiento Cuantitativo,Derecho Civil,Derecho,especifica,"En el contexto de Derecho Civil (Derecho), calcule el resultado de 40 + 3.",39,47,43,45,C
Razonamiento Cuantitativo,Marketing,Administración,especifica,"En el contexto de Marketing (Administración), calcule el resultado de 27 * 16.",435,432,433,428,B
Razonamiento Cuantitativo,Derecho Laboral,Derecho,especifica,"En el contexto de Derecho Laboral (Derecho), calcule el resultado de 64 - 6.",60,58,62,59,B
Razonamiento Cuantitativo,Estadística,Tecnología,generica,"En el contexto de Estadística (Tecnología), calcule el resultado de 10 * 16.",166,162,160,164,C
Razonamiento Cuantitativo,Bases de Datos,Ingeniería,especifica,"En el contexto de Bases de Datos (Ingeniería), calcule el resultado de 87 * 11.",962,960,957,959,C
Razonamiento Cuantitativo,Geometría,Administración,generica,"En el contexto de Geometría (Administración), calcule el resultado de 98 + 4.",106,102,108,107,B
